# e nB nQ T p muB muS muQ 
0.0 0.0 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.0 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.01 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.01 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.02 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.02 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.03 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.03 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.04 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.04 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.05 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.05 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.06 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.37 0.0 0.0 0.0 0.0 0.0
